,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"log_lik[30,2,5]",-0.0690803,0.000938113,0.0514227,0.0424223,-0.166042,-0.0571599,-0.0110546,3856.25,2712.68,1.00025
"log_lik[30,2,6]",-0.0687109,0.000945742,0.0505369,0.0418628,-0.163311,-0.0571438,-0.0108468,3858.9,2668.99,1.00081
"log_lik[30,2,7]",-0.061468,0.000769338,0.0427913,0.0372359,-0.14338,-0.0519088,-0.0102316,3909.63,2617.17,1.00041
"log_lik[30,2,8]",-0.0251167,0.000438209,0.0234708,0.0168367,-0.0709067,-0.0181668,-0.00213603,3971.36,2769.27,1.00052
"log_lik[30,2,9]",-0.0138777,0.000292095,0.0152526,0.00916025,-0.0439172,-0.0087241,-0.000746864,3984.82,2855.33,1.00016
"log_lik[30,2,10]",-0.0094419,0.000219541,0.0114258,0.00591425,-0.0328565,-0.00529863,-0.000376855,4025.52,2757.55,1.00013
"log_lik[30,2,11]",-0.40509,0.00396342,0.262441,0.209979,-0.925843,-0.34016,-0.107441,5832.17,3466.44,1.00044
"log_lik[30,2,12]",-0.381126,0.00363576,0.25051,0.201556,-0.867516,-0.320821,-0.096418,5483.83,3595.26,1.00049
"log_lik[30,2,13]",-0.209984,0.0036886,0.217825,0.131401,-0.646289,-0.139776,-0.0184475,3982.46,3097.95,1.00042
"log_lik[30,2,14]",-0.464846,0.00314125,0.209631,0.199709,-0.85133,-0.434578,-0.17408,4576.9,3606.76,1.00005
"log_lik[30,2,15]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
"log_lik[30,2,16]",-0.141635,0.00129157,0.0901758,0.078381,-0.31416,-0.122553,-0.0334208,5653.03,3603.89,1.00106
"log_lik[30,2,17]",-0.0118538,0.000296363,0.0145678,0.0076052,-0.0408071,-0.00667113,-0.000407936,3762.02,2620.78,0.99999
"log_lik[30,2,18]",-0.00308278,0.000124495,0.00576324,0.00137845,-0.0129852,-0.00102835,-2.04586e-05,3588.77,2243.76,1.00011
"log_lik[30,2,19]",-0.00133141,6.82372e-05,0.0031228,0.000423654,-0.00591926,-0.000301931,-2.95012e-06,3519.17,2270.57,1.00017
"log_lik[30,2,20]",-0.00654722,0.000181041,0.00926281,0.00377613,-0.0252866,-0.00307416,-0.000137815,4282.23,2672.83,0.9999
"log_lik[30,2,21]",-0.0237381,0.000471957,0.0251314,0.0156733,-0.0743765,-0.0154121,-0.00141171,4168.81,2650.37,1.00009
"log_lik[30,2,22]",-1.27514,0.00631777,0.453641,0.416069,-2.13832,-1.19947,-0.678666,5345.29,3483.85,1.00009
"log_lik[30,2,23]",-0.190481,0.00217951,0.151843,0.114314,-0.485801,-0.150336,-0.0317963,6088.41,3815.0,1.00101
