,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"log_lik[3,3,30]",-7.90643e-07,2.81258e-07,1.68982e-05,0.0,-1.04556e-07,0.0,0.0,2156.13,2306.67,0.99984
"log_lik[3,4,1]",-0.0450736,0.00188532,0.0822321,0.0112232,-0.233734,-0.00757086,-2.43958e-08,2822.87,2359.67,0.999865
"log_lik[3,4,2]",-0.0330331,0.00133867,0.0597535,0.00841006,-0.159535,-0.00567331,-3.72091e-08,2858.18,2537.29,0.999726
"log_lik[3,4,3]",-0.190417,0.00677458,0.266998,0.0972487,-0.835203,-0.0664769,-2.37876e-05,2277.36,1703.34,1.00014
"log_lik[3,4,4]",-0.0756536,0.00280182,0.119176,0.031613,-0.32901,-0.0213689,-1.71865e-06,2544.54,2365.72,1.0
"log_lik[3,4,5]",-0.29676,0.00923439,0.369363,0.198072,-1.1695,-0.138901,-0.000147644,2198.71,1726.46,1.0002
"log_lik[3,4,6]",-0.242776,0.00739104,0.287873,0.171349,-0.879365,-0.12193,-0.00019268,2009.02,1617.89,1.00037
"log_lik[3,4,7]",-0.802993,0.0190436,0.852291,0.653178,-2.48851,-0.514876,-0.00343672,2298.32,2919.84,1.00144
"log_lik[3,4,8]",-0.0281711,0.000991933,0.0574019,0.00627338,-0.144127,-0.00423175,-1.12838e-08,4054.28,3369.29,1.00048
"log_lik[3,4,9]",-0.00232559,0.000184089,0.0092888,2.29789e-05,-0.0112966,-1.5499e-05,0.0,3430.69,2917.55,1.00037
"log_lik[3,4,10]",-0.000487079,6.61459e-05,0.00326562,1.53348e-07,-0.00165396,-1.03432e-07,0.0,3139.08,2642.74,0.999742
"log_lik[3,4,11]",-0.000378082,5.08232e-05,0.00252958,1.17225e-07,-0.00130649,-7.90674e-08,0.0,3133.34,2941.39,1.00007
"log_lik[3,4,12]",-0.000259457,3.44475e-05,0.00176656,7.64225e-08,-0.000897422,-5.15463e-08,0.0,3368.42,2909.03,1.00052
"log_lik[3,4,13]",-0.000200966,2.6553e-05,0.00138626,5.12057e-08,-0.000702342,-3.45378e-08,0.0,3436.53,3077.9,1.00017
"log_lik[3,4,14]",-0.000659788,6.99224e-05,0.0034418,7.50677e-07,-0.00289876,-5.06325e-07,0.0,3093.37,2759.64,0.999607
"log_lik[3,4,15]",-0.000615138,6.33968e-05,0.00312721,8.79772e-07,-0.00280067,-5.93398e-07,0.0,3071.64,2810.02,0.999806
"log_lik[3,4,16]",-0.000596645,5.98537e-05,0.00296653,1.12564e-06,-0.00270068,-7.59233e-07,0.0,3079.69,2825.79,0.999866
"log_lik[3,4,17]",-0.00765141,0.000444091,0.0218824,0.000505382,-0.0400713,-0.000340875,-4.0599e-11,3037.48,2812.13,0.999764
"log_lik[3,4,18]",-0.00649035,0.000349528,0.017088,0.000453719,-0.0345039,-0.000306029,-2.72606e-11,3124.02,2843.29,0.999729
"log_lik[3,4,19]",-0.0121576,0.000595145,0.0330633,0.00131867,-0.0642585,-0.000889429,-1.64039e-10,3608.83,3075.96,1.0004
"log_lik[3,4,20]",-0.286206,0.00675167,0.424083,0.186904,-1.01292,-0.150432,-0.00132517,4271.58,3443.97,1.00063
"log_lik[3,4,21]",-0.0609516,0.0018797,0.113017,0.0266206,-0.275484,-0.0181953,-7.21543e-06,4135.24,3656.4,1.00076
"log_lik[3,4,22]",-0.0256348,0.00114631,0.0695785,0.00459486,-0.12233,-0.00310013,-3.57005e-08,4228.35,3408.75,1.00033
"log_lik[3,4,23]",-0.0148176,0.000606386,0.0372608,0.00261127,-0.0713649,-0.00176147,-5.48697e-09,4303.8,3395.79,1.00041
"log_lik[3,4,24]",-0.000767711,5.78428e-05,0.0031897,8.27433e-06,-0.00376105,-5.58096e-06,0.0,3806.63,3399.43,1.00035
"log_lik[3,4,25]",-0.00674698,0.000542797,0.0333943,0.000115465,-0.028565,-7.78799e-05,-1.35004e-14,3645.71,3366.31,1.00011
"log_lik[3,4,26]",-0.0210651,0.00076916,0.0476092,0.00473241,-0.0963074,-0.00319261,-2.56151e-08,4195.17,3250.82,1.00047
"log_lik[3,4,27]",-0.0152175,0.000539743,0.0338283,0.00337029,-0.069049,-0.00227342,-7.067e-09,4194.27,3222.94,1.00049
"log_lik[3,4,28]",-0.0128879,0.000493296,0.0307401,0.00265036,-0.0605108,-0.00178774,-2.44125e-09,4036.94,3278.81,1.00006
"log_lik[3,4,29]",-0.00112318,7.71233e-05,0.00417308,1.52789e-05,-0.00594194,-1.03055e-05,0.0,3495.93,3257.27,1.00035
"log_lik[3,4,30]",-0.000266559,2.72087e-05,0.00141006,1.69735e-07,-0.00108233,-1.14485e-07,0.0,3181.25,2874.23,0.999965
"log_lik[4,1,1]",-0.593302,0.00161485,0.101252,0.100818,-0.751705,-0.598699,-0.417926,3942.97,3381.78,1.00039
"log_lik[4,1,2]",-0.310591,0.0017166,0.107697,0.107729,-0.496673,-0.304505,-0.143304,3961.58,3506.04,1.00084
"log_lik[4,1,3]",-0.244278,0.00189738,0.119291,0.116632,-0.46098,-0.228523,-0.0786233,3993.05,3510.96,1.00055
"log_lik[4,1,4]",-0.32144,0.00161003,0.103042,0.103549,-0.499551,-0.316584,-0.160275,4126.31,3292.71,1.00016
"log_lik[4,1,5]",-0.248064,0.00211834,0.130066,0.116919,-0.487754,-0.224724,-0.0809132,4046.61,3617.63,1.00083
"log_lik[4,1,6]",-0.309621,0.00177757,0.11532,0.114817,-0.50869,-0.299914,-0.136109,4242.19,3509.93,1.00064
"log_lik[4,1,7]",-0.529451,0.00229848,0.146431,0.140124,-0.790733,-0.520406,-0.305284,4093.75,3339.66,1.00034
"log_lik[4,1,8]",-0.718018,0.00363979,0.207988,0.154111,-1.13114,-0.67559,-0.468786,2984.31,3490.14,0.999808
"log_lik[4,1,9]",-0.354019,0.0019299,0.119322,0.118806,-0.562513,-0.346958,-0.170787,3791.84,3431.29,1.00021
"log_lik[4,1,10]",-0.677049,0.00355082,0.197368,0.158073,-1.07916,-0.63497,-0.434293,2828.41,3415.65,1.00017
"log_lik[4,1,11]",-0.336759,0.00178603,0.109259,0.113039,-0.525723,-0.330962,-0.169485,3724.54,3661.61,0.999924
"log_lik[4,1,12]",-0.24671,0.00150892,0.0986145,0.094174,-0.421991,-0.235262,-0.104796,4370.52,3642.79,1.00035
"log_lik[4,1,13]",-0.511054,0.0023387,0.141275,0.138824,-0.754938,-0.502181,-0.294628,3626.48,3481.08,1.0009
"log_lik[4,1,14]",-0.953735,0.00447052,0.25034,0.240527,-1.40744,-0.91973,-0.599821,2947.96,3110.4,1.00075
"log_lik[4,1,15]",-0.290118,0.00228351,0.121864,0.125717,-0.510604,-0.277115,-0.112938,3052.55,3098.26,1.00083
"log_lik[4,1,16]",-0.152343,0.00148318,0.0850321,0.0804342,-0.312588,-0.136427,-0.0407264,3637.9,3318.52,1.00149
"log_lik[4,1,17]",-0.121119,0.00120812,0.0732142,0.0721868,-0.256691,-0.108077,-0.0254561,3731.0,3502.79,1.00037
"log_lik[4,1,18]",-0.0643956,0.00078222,0.0483034,0.0409805,-0.157594,-0.0526752,-0.0101752,3856.73,3690.81,1.00068
"log_lik[4,1,19]",-0.0566864,0.0008578,0.0514683,0.0367164,-0.155644,-0.0417836,-0.00607972,3897.63,3607.48,1.00035
"log_lik[4,1,20]",-0.0310837,0.000535416,0.0324563,0.0200223,-0.0921611,-0.0211384,-0.00261629,3971.37,3558.57,1.00044
"log_lik[4,1,21]",-0.0180784,0.000353426,0.0215126,0.0115161,-0.0591144,-0.0112016,-0.00110201,4061.34,3441.33,1.00005
"log_lik[4,1,22]",-0.0110512,0.000244431,0.0148558,0.00674689,-0.0386019,-0.00617452,-0.000475243,4143.63,3470.18,0.999995
"log_lik[4,1,23]",-0.00707142,0.00017575,0.0106636,0.00414333,-0.0256383,-0.00355226,-0.000211411,4220.2,3468.36,0.999692
"log_lik[4,1,24]",-0.0073383,0.000212734,0.0124867,0.00386755,-0.026353,-0.00323239,-0.00016483,4255.26,3605.77,1.00019
"log_lik[4,1,25]",-0.00474333,0.000149375,0.0087548,0.00232265,-0.0188041,-0.0018682,-7.53595e-05,4313.67,3555.06,0.999654
"log_lik[4,1,26]",-0.00324051,0.000110655,0.00650459,0.00145809,-0.0133679,-0.00112568,-3.61746e-05,4371.18,3579.75,0.999458
"log_lik[4,1,27]",-0.00231676,8.58805e-05,0.0050698,0.0009488,-0.00987104,-0.000711862,-1.69072e-05,4412.18,3580.07,0.999335
"log_lik[4,1,28]",-0.00172474,6.94127e-05,0.00412045,0.000621224,-0.00733415,-0.000454569,-8.28218e-06,4448.23,3515.05,0.999353
"log_lik[4,1,29]",-0.00133156,5.80998e-05,0.00347192,0.000410917,-0.00583271,-0.00029449,-4.15772e-06,4470.74,3604.35,0.999313
"log_lik[4,1,30]",-0.00154364,7.07471e-05,0.00419035,0.000415176,-0.00718539,-0.000294116,-3.40787e-06,4451.57,3595.35,0.999284
